,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
335,Randall,326128817000.0,60479738.2,939578400.0,45741972.7,137062.00400000002,18840.434,0.0,118221.57,13.7,0.0,86.3,TX
336,Reagan,31317531820.0,2478601.536,37662996.0,1879606.216,5456.000010000001,551.18551,0.0,4904.8145,10.1,0.0,89.9,TX
337,Real,19258846000.0,1522734.3,32417280.0,1162392.6,4720.0,0.0,0.0,4720.0,0.0,0.0,100.0,TX
338,Red River,59212790000.0,4681762.7,99669399.0,3573864.7,14512.0,0.0,0.0,14512.0,0.0,0.0,100.0,TX
339,Reeves,62091313500.0,4831456.32,103656402.2,3663194.1169999996,15197.000320000001,675.21332,0.0,14521.787,4.4,0.0,95.6,TX
340,Refugio,33922112000.0,2678334.7,57018698.0,2044530.3,8302.0,0.0,0.0,8302.0,0.0,0.0,100.0,TX
341,Roberts,3244835600.0,636564.57,9132564.6,485927.15,1298.0,0.0,0.0,1298.0,0.0,0.0,100.0,TX
342,Robertson,53328737480.0,6481834.71675,137995739.439,4947814.35365,20092.999745,4.092745,0.0,20088.907,0.0,0.0,100.0,TX
343,Rockwall,511123774000.0,26398161.0,571629984.0,16613865.1,95339.0,82327.293,0.0,13011.707,86.4,0.0,13.6,TX
344,Runnels,50431534200.0,3997893.78,86829715.6,2998246.2199999997,12867.0,1450.6,0.0,11416.4,11.3,0.0,88.7,TX
345,Rusk,139137801050.0,16876863.779,359448540.28,12878136.872,52356.999800000005,134.4368,0.0,52222.563,0.3,0.0,99.7,TX
346,Sabine,34751573000.0,4224619.8,89937347.0,3224900.6,13095.0,0.0,0.0,13095.0,0.0,0.0,100.0,TX
347,San Augustine,38611832330.0,3029852.074,64713582.3,2306272.745,9450.00002,178.44932,0.0,9271.5507,1.9,0.0,98.1,TX
348,San Jacinto,117054610000.0,9255127.3,197031130.0,7064982.7,28688.0,0.0,0.0,28688.0,0.0,0.0,100.0,TX
349,San Patricio,193157748000.0,27032881.4,460284222.0,20784711.63,67532.99979999999,9175.3748,11001.633,47355.992,13.6,16.3,70.1,TX
350,San Saba,20951789000.0,2547031.2,54223395.0,1944298.6,7895.0,0.0,0.0,7895.0,0.0,0.0,100.0,TX
