,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_bev,vehicle_split_ffv,vehicle_split_sidi,county,state
91,Dodge_MN,236262852000.0,27118004.4,402618722.0,16280228.8,58932.0,25.1,31.5,43.5,Dodge,MN
92,Donley_TX,27069569500.0,3367816.93,44937998.6,1996238.2799999998,6351.00004,0.0,13.2,86.8,Donley,TX
93,Douglas_MN,87786801000.0,9250007.7,130805640.0,5285718.7,18571.0,0.0,0.0,100.0,Douglas,MN
94,Duval_TX,34884906300.0,5116621.875,71262702.8,3243888.4979999997,10127.99993,2.1,38.3,59.6,Duval,TX
95,Eastland_TX,46517269700.0,7991750.09,106663625.4,4558671.56,15159.999940000002,5.3,2.7,91.9,Eastland,TX
96,Ector_TX,23305845000.0,3053890.9,39996436.0,1745080.5,5644.0,0.0,0.0,100.0,Ector,TX
97,Edwards_TX,142296518000.0,17242761.3,264263016.0,11241126.0,38650.999599999996,22.3,56.1,21.6,Edwards,TX
98,El Dorado_CA,26918784900.0,4350572.43,58193481.7,2591052.8,8226.0,0.0,14.9,85.1,El Dorado,CA
99,El Paso_TX,136558504000.0,17016738.0,249016269.0,10644275.59,36075.9996,16.5,40.3,43.1,El Paso,TX
100,Ellis_TX,186586718000.0,21607052.5,345869590.0,14399033.620000001,51134.9993,29.5,65.6,4.9,Ellis,TX
101,Erath_TX,24597208000.0,3761566.9,53192840.0,2149466.8,7552.0,0.0,0.0,100.0,Erath,TX
102,Falls_TX,54267312580.0,7117857.2,93314948.1,4075408.594,13169.000223000001,0.0,0.7,99.3,Falls,TX
103,Fannin_TX,134128628000.0,14298636.5,201324900.0,8319496.55,29076.0001,16.3,16.3,67.3,Fannin,TX
104,Faribault_MN,142031828400.0,16248649.71,227479704.0,10051465.78,32508.0003,6.9,31.9,61.2,Faribault,MN
105,Fayette_TX,134862742000.0,17494989.0,252811511.0,11070807.02,36409.999599999996,11.9,42.0,46.0,Fayette,TX
106,Fillmore_MN,227614599700.0,24192213.72,326741482.6,14477956.53,46318.00047,1.9,17.7,80.3,Fillmore,MN
107,Fisher_TX,233173637000.0,25318121.3,376495266.0,16253439.900000002,54639.999,17.1,49.1,33.8,Fisher,TX
108,Floyd_TX,55644116700.0,6330295.1,86008113.0,3885425.1,12173.0,0.0,25.8,74.2,Floyd,TX
109,Foard_TX,180524128000.0,20847862.8,309839563.0,11893094.399999999,45659.9994,31.2,19.3,49.5,Foard,TX
110,Fort Bend_TX,131263684000.0,14151292.6,205967019.0,8764715.309999999,29826.0,16.5,37.1,46.4,Fort Bend,TX
111,Franklin_TX,31137355000.0,4761729.2,67336275.0,2720988.1,9560.0,0.0,0.0,100.0,Franklin,TX
112,Freeborn_MN,927020100000.0,73471353.0,1311027250.0,43058322.0,201253.998,57.2,42.8,0.0,Freeborn,MN
113,Freestone_TX,252750677000.0,42067227.1,565369770.0,25285207.5,79949.0,0.0,18.2,81.8,Freestone,TX
114,Fresno_CA,57245462000.0,10516012.0,137726920.0,6009149.5,19435.0,0.0,0.0,100.0,Fresno,CA
